Paleonium,Pressure,Price
68,18009,1113.458703
16,19329,1208.635581
159,19776,293.9020071
160,19436,657.0924942
14,2732,2500.941056
67,11877,2191.838156
4,12607,3199.822477
179,17539,1978.903479
164,90,2089.914084
114,13675,1848.776175
72,7705,1968.652602
93,5061,1736.968837
166,19970,271.077945
141,4170,1763.399831
190,10743,3234.944907
79,14023,1880.718212
111,18167,779.5932762
39,6888,2316.02839
67,13305,1911.099449
179,3923,2372.242814
34,15161,2254.112718
25,13913,2649.236122
166,10396,2593.719423
178,3304,2195.119336
91,11071,2075.203217
28,15629,2243.93259
79,15616,1571.271242
66,3322,1636.060108
148,8126,2363.934868
173,7659,2674.472279
83,9246,2095.039834
56,14935,1851.793103
124,1411,1439.885251
23,18166,1598.634789
94,5124,1718.302866
197,12515,3318.015178
17,10768,2955.056336
119,7113,1871.923872
82,18636,677.4220465
86,16114,1458.948596
164,8759,2487.029579
74,19448,111.7682371
28,18035,1518.727624
157,3487,1999.399775
121,5263,1688.759008
28,13364,2504.247963
79,16213,1474.64832
154,17413,1483.90236
108,8275,1875.76384
56,18837,648.2549543
104,16183,1511.644991
145,673,1680.142866
123,12556,2012.236456
73,2710,1433.818173
151,12552,2339.417509
21,9005,2793.136616
48,512,1730.816669
165,13248,2402.78405
183,18727,1532.998192
144,6331,2183.842484
80,8972,2117.888505
58,7300,2094.407209
116,13172,1820.913664
125,14508,1710.941475
117,17172,1222.458053
65,2777,1439.400086
71,3276,1609.370489
182,19280,1076.619407
48,165,1923.265876
130,12806,1963.893767
28,17524,1810.602046
151,6741,2233.407567
172,4789,2293.760742
165,2002,1806.25541
200,11403,3396.196289
79,5256,1712.870073
23,17912,1848.805218
95,18449,766.2371794
77,6513,1969.864208
47,2899,1711.178076
94,7093,1950.028547
158,10680,2545.187698
20,14451,2539.43654
26,9519,2803.058213
158,8198,2509.560215
143,2523,1682.14258
116,10575,1953.728912
50,6211,2116.600602
13,12363,3014.719203
74,11034,1985.992823
22,4422,2516.864474
119,4832,1620.10947
156,4706,1962.098184
25,10656,2785.432227
162,12927,2406.967508
55,6482,2018.726184
11,19619,1126.577164
128,17486,1257.259915
59,6572,2103.554119
38,6127,2303.906362
195,3573,2793.868075
156,17486,1460.99933
143,16189,1771.227888
24,1017,2171.605086
12,7008,2970.943223
1,9555,3379.071759
160,16295,2007.208468
55,1169,1640.146862
26,9339,2850.132663
32,871,1947.407438
92,9222,1951.494286
79,15885,1463.412718
88,13376,1785.785816
67,15749,1759.846104
127,1775,1401.595086
71,18870,642.9717523
17,14312,2767.056407
77,1481,1364.042329
46,8981,2341.230785
141,16552,1562.441438
55,13619,2173.987185
6,4960,2893.292196
90,9036,1906.006531
145,1077,1506.417327
145,1026,1653.758051
84,15238,1537.134581
88,8225,1927.65992
107,4609,1577.581379
194,16837,2547.443204
68,8630,2184.025718
199,3082,2804.593017
194,8530,3208.797434
91,13552,1828.252423
78,13652,1915.20201
115,19138,347.5404547
112,2826,1431.818202
72,11427,2026.597512
167,14416,2438.063701
118,14568,1743.985672
145,15392,1904.169758
168,18711,1187.532216
71,9450,2149.387084
176,12247,2698.160311
145,12020,2271.114119
143,10882,2321.080501
119,16141,1490.721999
49,7435,2365.614316
66,9411,2141.586052
181,5383,2565.859983
20,6206,2655.123993
70,13064,1903.223236
3,1124,2668.877108
67,878,1476.290642
27,13362,2550.07801
191,6577,3111.355774
38,14139,2367.186848
105,15311,1579.198005
62,13006,1985.688262
142,8636,2136.576828
186,9237,2992.322152
96,4741,1656.784037
150,10314,2400.399907
176,18087,1744.062831
103,225,1403.134639
74,12897,2058.593451
46,1902,1733.073312
184,2911,2316.968063
16,2208,2220.510032
93,1146,1280.827487
4,18726,1896.737111
12,17495,2193.78366
48,6123,2115.228501
110,17022,1245.284908
11,16298,2545.509754
31,7581,2587.359685
116,19,1526.401144
14,8999,3091.347139
125,1644,1469.664364
68,8264,2160.850549
143,16112,1636.626566
36,10388,2597.80518
150,4109,1948.515376
128,6096,1944.047393
14,17212,2273.871083
104,19914,-282.8914864
162,15297,2045.05443
69,16031,1525.084725
103,13553,1762.902771
188,10455,3091.189001
145,275,1760.862075
82,17521,1044.944008
199,17896,2387.203395
8,16152,2561.610814
97,17387,1055.639812
159,9613,2424.288685
75,13821,1790.972265
91,3761,1449.337625
131,4982,1756.412999
16,8170,3056.563367
8,14676,2789.533858
185,1620,2312.035866
126,1230,1398.598053
100,9858,1902.71321
178,15166,2389.242506
29,12080,2707.850577
172,1348,1990.341883
157,10443,2420.608661
138,8595,2204.418494
103,19175,237.891061
5,4648,2847.363436
127,7261,1988.096903
156,7299,2349.595272
117,17686,1024.920629
145,9529,2290.043309
43,7598,2439.334147
102,6998,1903.529286
72,2291,1410.58685
134,16131,1673.987507
24,2177,2180.364838
142,1304,1525.858311
51,13800,2045.057405
135,1316,1422.498026
168,8203,2567.14089
16,13658,2896.902574
69,19255,297.1043475
86,4853,1677.432696
41,4632,2114.159307
81,5091,1690.278454
47,5937,2105.664808
116,15702,1545.111322
166,14422,2289.349008
144,8917,2287.841471
14,6342,2905.044579
23,2327,2126.49473
197,10586,3296.212916
14,14956,2677.695507
137,12143,2181.45685
31,2950,2117.780755
91,12294,1984.599161
4,16330,2611.645192
117,11564,1942.315592
78,6013,1883.248965
105,1011,1288.792598
162,16447,1963.250034
81,2647,1436.107996
167,13470,2422.90669
30,10561,2789.894821
189,6685,2967.366234
193,4826,2895.864575
68,548,1559.244697
48,18696,859.5557237
132,257,1556.129463
80,6263,1836.192518
182,2876,2370.793424
91,13732,1853.297468
160,9551,2487.487226
90,2231,1351.045911
139,7799,2206.549636
91,11360,1994.203616
33,9028,2631.433769
195,18937,1662.383259
54,13828,2016.395781
18,170,2442.633742
127,13880,1917.172536
183,10705,2902.37707
2,2458,2635.109972
163,13443,2478.588349
17,10708,2934.31674
12,3975,2547.320964
30,16185,2134.311294
177,1596,2227.722915
98,72,1614.453711
80,9890,1968.75645
156,9873,2505.089858
83,6435,1875.983653
56,18993,715.8261465
177,18122,1753.821096
97,2704,1294.733342
147,12388,2284.184112
83,12770,2014.804262
112,19002,308.1391221
70,6911,1997.555864
97,12058,1898.987242
66,11151,2222.668479
142,6544,2084.656103
105,14231,1823.356765
199,9054,3327.153591
103,19742,-251.2328879
116,13926,1754.630358
132,17724,1205.626814
37,12115,2533.190554
51,18250,1054.917531
196,14952,2914.325488
196,14113,3165.879554
91,13121,1861.609812
196,2645,2749.164837
139,4871,1836.408931
3,8600,3354.206274
112,18776,469.4255799
57,18371,973.823345
85,2522,1358.922501
26,16353,2176.165247
151,16530,1616.679107
26,17008,1993.366917
176,4013,2427.480637
173,4797,2476.471406
89,10005,1965.220693
65,6613,2108.587394
39,6206,2329.84555
193,1412,2581.807666
14,8068,3072.494537
20,2879,2306.01541
58,19323,483.8278969
48,13913,2100.515954
140,7254,2164.514293
113,11574,1947.790342
106,18626,644.7840742
10,7396,2970.377558
45,2393,1811.35837
17,11206,2906.750721
105,10708,1974.424158
21,12076,2791.872814
170,18607,1227.137288
54,9970,2258.138995
125,8780,2153.768241
35,700,2049.072077
56,1010,1678.881907
170,7193,2554.372873
88,17064,1140.53865
72,3675,1526.712269
103,17500,997.2405932
142,10468,2206.937572
74,17103,1369.9413
144,3678,1677.071984
96,9028,2014.831129
119,637,1377.528057
2,806,2663.121863
57,7995,2199.951603
30,9349,2775.342388
155,9587,2369.094198
185,1539,2350.83592
106,5290,1629.539178
182,13787,2767.742715
171,1402,2100.685091
54,1672,1594.908649
10,17399,2211.263724
89,8939,2013.199806
160,15224,2087.341945
9,14672,2858.050443
67,16497,1472.371799
4,14028,3122.998763
108,12389,2005.837064
81,14517,1669.159488
42,11425,2478.867349
181,17280,2101.117361
29,18162,1560.012149
182,14048,2723.974915
22,9319,2859.281952
195,19468,1301.602117
71,14796,1851.494073
107,10539,2085.839193
182,7887,2850.443488
60,11716,2085.801002
156,10751,2488.292465
166,721,2021.822366
199,17854,2236.630332
151,6353,2151.739858
194,2297,2619.993586
19,4189,2481.557885
183,17263,2093.076442
55,5078,1966.410357
148,5134,1959.380296
148,16723,1578.555989
163,3586,1934.030535
186,8520,3002.435159
192,14549,2843.06475
94,3150,1454.084682
147,17677,1260.439375
120,1157,1308.856936
56,18671,889.9348794
16,8995,2945.843742
173,4772,2347.112255
150,12084,2335.97518
1,1054,2788.446996
114,13575,1935.253446
53,6860,2214.365639
103,19301,175.9266276
73,3235,1476.26093
135,19717,36.59839188
158,13909,2295.903247
55,19953,-44.224648
160,14645,2285.618391
63,19430,217.1439863
90,849,1259.80127
91,16087,1383.244341
76,4554,1697.076321
10,3505,2565.178388
128,19963,-288.5051526
128,11839,2036.44098
194,8586,3280.095625
27,1984,1983.595975
13,7162,3031.748528
76,15937,1479.324192
164,10787,2670.132789
81,5807,1811.438345
112,4416,1553.650426
148,13448,2217.127361
137,11534,2118.345489
95,16589,1268.753619
104,5835,1794.563792
190,10157,3167.450939
188,3330,2438.696915
166,15,2125.552908
106,13486,1775.546672
177,5783,2532.102945
150,239,1752.036662
20,8366,2946.859721
104,13346,1828.469028
107,4561,1530.030128
34,15390,2246.261699
115,16173,1435.537851
144,361,1655.302221
53,9439,2239.908529
187,8672,2987.130392
103,15457,1470.054545
79,14311,1763.496656
121,10422,1985.229314
192,19104,1603.655554
62,13885,1964.36763
107,8695,1915.736915
4,11677,3240.603056
6,9248,3308.501829
8,17253,2266.321538
61,12823,2019.907391
44,19591,294.6157053
159,5154,2225.473198
119,7964,1919.396292
181,572,2382.836941
125,1965,1375.330539
50,14738,1986.951389
83,17901,966.4703731
31,15947,2070.938885
143,14049,2099.040842
170,10510,2645.672195
166,5796,2382.739057
4,12454,3313.871125
3,1768,2546.824381
78,12907,1863.437571
33,7342,2602.424292
186,18017,1986.022209
145,13192,2052.853835
50,11412,2317.426818
190,5899,3012.393987
41,6308,2396.359188
39,938,1785.68153
5,16059,2801.988456
158,1287,1707.536372
165,11422,2498.527459
199,13021,3291.771846
26,7798,2698.36732
66,15596,1646.656859
50,5909,2053.528217
52,6333,2151.422082
183,9301,3068.496978
141,9215,2274.471921
149,18901,803.4726416
25,11208,2697.788032
80,5597,1879.227036
158,16450,1851.234214
8,10889,3136.35867
152,12627,2270.532635
176,16755,2098.458737
163,9146,2606.493272
188,102,2596.557024
195,7368,3246.944418
11,10234,3048.546961
44,14869,2184.42879
105,13443,1932.273615
195,1999,2564.264269
16,3895,2491.38098
102,87,1457.680375
92,6210,1761.800415
63,18315,881.0282773
25,10927,2809.326695
50,6949,2197.568117
66,10764,2091.216225
41,19297,733.9349274
7,6307,3125.771719
9,9288,3146.347002
39,7462,2499.969738
79,12326,1982.727306
4,16209,2782.384587
122,8373,1952.212402
150,18035,1266.737573
7,15634,2800.162361
195,15618,2753.592513
5,15571,2849.08574
108,16517,1448.725535
171,18522,1309.410603
114,1923,1365.68054
199,387,2777.302814
171,17663,1631.544708
35,2280,1973.521647
136,17896,1078.761763
119,7014,1877.693431
172,4414,2330.673716
195,59,2807.40515
40,11479,2577.222969
70,16728,1451.455968
150,18950,836.7713556
103,1053,1245.942272
0,8904,3419.116331
4,12467,3231.958634
144,15938,1799.68132
37,10080,2503.781865
14,10876,2993.68621
148,736,1700.068438
169,685,2009.208618
191,1306,2516.255444
22,6550,2622.066205
185,8095,2923.631105
34,4859,2156.289513
122,10950,2045.039081
50,9478,2341.925113
73,7850,2064.985596
160,11716,2429.443362
157,3899,1972.11443
57,11666,2184.646446
165,6244,2440.581629
46,11771,2398.365086
148,6861,2254.974844
125,4191,1679.016262
193,3442,2599.017645
134,2880,1500.794583
51,17519,1464.226385
59,6868,2075.92884
10,19404,1152.769707
190,11447,3029.001081
87,15646,1605.081922
150,2902,1791.538179
110,16492,1443.803085
104,10558,1943.845954
82,9571,1953.492956
10,5626,2905.577653
156,16907,1683.358837
153,17068,1561.671584
170,1770,2011.131394
172,9936,2777.73489
22,19131,1077.06676
36,4626,2208.870373
197,2152,2702.891785
27,9247,2714.36003
5,11386,3166.108014
39,5348,2201.293501
173,15892,2213.701085
190,10347,3177.088071
107,8478,2067.007342
89,6861,1926.287707
49,15294,1884.64771
37,12489,2527.644079
163,8302,2489.84292
91,17238,1137.855797
65,9660,2128.698399
69,19708,61.80216619
197,17075,2513.96965
175,12036,2840.545981
144,2782,1579.122086
92,2254,1305.492187
115,18064,853.7900701
185,3951,2588.14543
29,17707,1711.574814
148,11275,2308.771551
189,14718,2761.322471
12,19227,1407.040025
162,18103,1481.260096
72,6739,1874.626076
70,15051,1678.603238
106,13789,1896.678881
122,19216,286.4103545
68,6510,2044.019085
190,9940,3205.750511
27,9005,2818.3397
19,5529,2618.843018
70,12023,2050.830027
164,4135,2076.259424
56,5841,2041.509437
141,11290,2148.557828
46,9450,2339.703534
190,16900,2435.747104
81,7281,1948.270503
24,1140,2136.415783
162,1249,1803.19729
43,2583,1832.946343
188,6765,2923.563868
174,15733,2315.224734
121,16009,1428.580519
119,10095,2138.249687
41,7525,2478.296484
125,2631,1424.110112
192,14261,2922.656367
4,8017,3231.679439
95,9487,2032.812764
183,1454,2369.940827
19,9951,2940.735278
112,12018,2030.523013
143,14244,2046.329887
161,2581,1859.932907
68,4419,1650.306208
95,1360,1353.551233
5,10365,3295.552764
55,15870,1837.791807
167,7444,2538.970873
112,5145,1601.386875
70,9163,2190.118696
13,19783,779.4760033
99,3410,1488.044286
98,7307,1813.457325
180,10659,2918.674996
63,14759,1954.979198
2,18891,1772.613793
127,535,1551.275896
85,3273,1461.320675
42,8500,2500.748079
104,5095,1606.697254
4,2410,2685.855225
160,15340,2183.137122
194,252,2686.553948
122,9237,1963.598154
150,6657,2127.216588
63,2270,1604.341105
76,11020,2014.169976
86,17443,1077.918341
93,8139,2014.691261
170,1571,2020.505785
40,10400,2556.079296
112,17714,998.0620231
111,19993,-334.1091328
97,8711,2048.634705
184,7674,2938.255581
22,9889,2892.706893
173,1446,2066.16052
70,13870,1970.636146
107,17471,1009.683765
22,15045,2472.327859
2,15924,2919.790209
65,15050,1871.012997
196,2058,2522.236966
144,5511,1971.414072
136,11632,2190.539188
110,8451,1944.085885
177,3710,2388.695717
26,2464,2179.12455
175,10954,2784.603875
181,19329,1070.186587
37,1590,1854.820459
120,2988,1527.509444
84,14657,1816.022691
89,12396,1873.471747
145,11882,2157.783134
55,18891,777.9615615
119,9645,2039.58453
176,2179,2186.489475
92,12417,2025.918102
144,14172,2061.615736
26,5222,2538.126797
159,15068,2207.286335
180,1208,2138.805435
10,6885,3006.988882
165,19372,654.1615544
46,15245,1970.562945
20,2884,2296.573117
154,5019,2094.511791
26,4099,2336.679025
158,18198,1240.407658
198,18660,1931.227175
54,11470,2210.396137
110,7973,2000.770447
32,6738,2534.047415
74,15290,1621.343468
138,7676,2172.681256
37,14317,2298.84194
161,588,1940.109189
97,7098,1975.597145
168,14459,2429.615877
60,17643,1224.986956
125,12483,1964.147616
24,1884,2031.535343
53,14046,2161.631327
134,19578,34.4207522
198,9035,3268.599575
92,16854,1294.464768
60,11825,2119.305484
178,14462,2491.007366
147,9498,2214.801123
60,8654,2164.930319
1,12461,3298.63828
76,7812,2003.867147
25,15285,2435.519998
104,1260,1263.685006
140,9401,2186.607579
196,8396,3327.018293
34,14237,2277.002495
198,5010,2934.175404
105,6325,1774.24988
32,16611,2056.882834
30,945,2123.57582
102,4642,1671.668549
198,1410,2669.797494
89,7693,1885.508952
66,290,1651.492653
84,2193,1413.759597
115,5832,1759.964116
96,7981,1908.275749
99,1123,1282.009186
92,17858,933.2963317
81,11236,2055.635342
23,11976,2863.240316
149,1766,1662.404841
73,10404,2081.429417
1,6930,3324.010804
8,11685,3083.194615
142,9121,2165.058471
13,1299,2329.31091
23,7935,2746.149521
198,10079,3399.763979
57,2062,1653.959275
7,12422,3164.400386
145,7191,2171.040312
14,8473,2988.424129
73,19785,-155.7859441
151,5079,1940.517496
127,17224,1331.362406
6,8094,3251.856322
66,15724,1761.087385
58,9464,2264.965919
70,497,1466.711604
170,17950,1597.158167
163,17484,1671.225177
89,1655,1283.938329
137,12539,2086.022215
14,4022,2543.284711
111,10349,2070.487563
51,18951,695.0668915
83,10811,2008.770221
126,4481,1703.304409
78,10946,1984.147019
145,7880,2182.25499
113,16013,1538.052683
11,678,2587.29513
50,19005,656.5603578
135,2009,1569.605555
148,18386,982.3698086
181,4383,2507.377616
54,18250,1076.355995
72,9448,2185.24341
11,18728,1632.315897
34,11146,2637.25972
198,7702,3251.729615
5,15119,2814.297372
192,18078,1972.449089
16,10826,2948.508175
96,8472,1883.050348
160,4741,2129.863147
81,18058,974.6747983
64,14128,1862.885112
145,3825,1827.755083
18,5594,2701.905401
30,19238,887.6190476
108,15046,1585.399188
85,13051,1937.295256
102,16514,1420.9033
190,405,2590.247684
152,5967,2254.085376
152,1445,1666.598252
71,8584,2183.157246
60,3100,1587.586435
40,5125,2231.664928
21,5396,2653.93585
101,3868,1557.594386
96,4265,1639.584618
91,516,1431.548134
197,11241,3376.181103
10,14439,2871.96562
166,11110,2702.415647
84,14667,1737.62382
166,12711,2590.244375
94,16531,1299.385098
158,5432,2269.942701
137,706,1466.478471
135,10374,2194.3529
25,15097,2394.877605
194,5992,3015.585948
133,4454,1736.373144
173,12296,2624.36986
176,18772,1252.254894
40,19572,570.1255384
41,1749,1695.854905
135,5850,1866.350976
142,5387,1999.643681
89,1386,1363.095649
118,16063,1489.822965
64,13924,2009.872949
84,12062,1961.905814
90,15039,1633.608018
49,10592,2316.189728
42,18435,1189.359047
10,13675,2922.682785
54,16996,1469.549379
