City,Type,Beds,Baths,SquareFeet,Price
SACRAMENTO,Residential,3,1,924,149605.86
SACRAMENTO,Residential,2,1,610,101934.42
SACRAMENTO,Residential,2,1,1220,179755.08
ELK GROVE,Condo,1,1,722,132432.82
SACRAMENTO,Residential,3,1,1643,221318.97
ELK GROVE,Condo,1,1,722,141212.82
GALT,Residential,3,1,1080,181527.33
SACRAMENTO,Residential,3,1,1039,150125.72
NORTH HIGHLANDS,Residential,3,1,1051,142894.88
SACRAMENTO,Residential,2,2,967,153430.8
RANCHO CORDOVA,Residential,3,1,1098,167066.67
SACRAMENTO,Residential,3,1,1050,150965.47
SACRAMENTO,Residential,3,2,1110,155211.57
NORTH HIGHLANDS,Residential,3,1,888,122498.75
SACRAMENTO,Residential,3,2,1120,169081.25
ELVERTA,Residential,3,2,1080,121091.47
NORTH HIGHLANDS,Residential,3,1,957,117266.46
SACRAMENTO,Residential,2,1,952,151183.78
SACRAMENTO,Residential,3,2,1211,170874.46
SACRAMENTO,Residential,3,2,1264,193111.08
SACRAMENTO,Residential,3,1,1080,158166.52
GALT,Residential,3,2,1266,200651.03
FAIR OAKS,Condo,2,2,994,224852.64
SACRAMENTO,Residential,3,2,1202,166778.85
SACRAMENTO,Residential,2,1,722,121651.07
SACRAMENTO,Residential,4,2,1448,207064.65
SACRAMENTO,Residential,3,2,1188,173135.89
NORTH HIGHLANDS,Residential,4,2,1183,158930.9
SACRAMENTO,Residential,3,1,1320,188438.91
SACRAMENTO,Residential,3,2,1117,170796.05
SACRAMENTO,Residential,3,2,1364,187873.91
SACRAMENTO,Residential,4,2,1310,182149.23
ELK GROVE,Residential,2,2,1006,172411.21
CITRUS HEIGHTS,Residential,3,2,1104,177428.34
SACRAMENTO,Residential,2,1,810,120841.08
ELK GROVE,Residential,2,2,1123,179315.21
SACRAMENTO,Residential,2,1,904,149518.5
CITRUS HEIGHTS,Residential,3,2,1156,170792.89
SACRAMENTO,Residential,2,1,1321,197423.98
ANTELOPE,Residential,3,2,1392,209929.5
SACRAMENTO,Residential,3,2,1439,207172.04
SACRAMENTO,Residential,3,2,1159,174209.91
RANCHO CORDOVA,Residential,3,2,1671,218765.81
SACRAMENTO,Residential,3,2,1740,248827.59
SACRAMENTO,Residential,3,2,1265,184262.15
ANTELOPE,Residential,2,2,1007,162759.2
ELK GROVE,Residential,3,2,1716,246722.7
ELK GROVE,Residential,4,2,1685,247906.59
RANCHO CORDOVA,Residential,4,2,1829,238514.6
ELK GROVE,Residential,3,2,1555,232604.71
CARMICHAEL,Residential,4,2,1120,258864.27
CITRUS HEIGHTS,Residential,3,2,1137,179405.59
SACRAMENTO,Residential,3,1,1174,163380.94
ANTELOPE,Residential,3,2,1393,205064.56
SACRAMENTO,Residential,3,2,1289,195164.79
SACRAMENTO,Residential,4,2,1799,244574.62
SACRAMENTO,Residential,4,3,1953,263794.14
SACRAMENTO,Residential,2,1,723,127491.14
PLACERVILLE,Residential,2,1,948,318212.09
CITRUS HEIGHTS,Residential,4,2,1578,229364.71
CITRUS HEIGHTS,Residential,3,2,1317,191536.88
SACRAMENTO,Residential,3,1,1360,197302.64
SACRAMENTO,Residential,3,2,1522,215856.7
SACRAMENTO,Residential,4,2,1751,244904.34
ELK GROVE,Residential,3,2,1465,215872.56
SACRAMENTO,Residential,4,2,1605,226077.37
RIO LINDA,Residential,4,2,1475,234760.95
MEADOW VISTA,Residential,3,1,1216,230984
FAIR OAKS,Residential,2,2,1315,273239.56
ELK GROVE,Residential,3,2,1567,228203.53
SACRAMENTO,Residential,3,2,1776,253399.05
SACRAMENTO,Residential,3,2,2187,297932.12
SACRAMENTO,Residential,3,1,1291,193623.93
SACRAMENTO,Residential,3,2,1503,212717.41
SACRAMENTO,Residential,4,3,2491,323138.88
SACRAMENTO,Residential,2,1,1269,180895.43
ORANGEVALE,Residential,3,2,1176,232335.08
ORANGEVALE,Residential,4,2,1456,269670.2
ROSEVILLE,Residential,3,2,1498,270837.69
ANTELOPE,Residential,3,2,1574,226693.93
CITRUS HEIGHTS,Multi-Family,5,4,2085,281777.33
SACRAMENTO,Residential,3,2,2170,299411.96
ELK GROVE,Residential,4,2,1595,234144.44
ANTELOPE,Residential,3,2,1567,232322.45
SACRAMENTO,Residential,4,2,1253,185562.33
ANTELOPE,Residential,4,3,1768,255131.17
SACRAMENTO,Residential,4,3,2030,275484.4
SACRAMENTO,Residential,3,2,1531,223084.32
ELK GROVE,Residential,4,3,1653,251141.4
ELK GROVE,Residential,4,2,2056,280637.92
ELK GROVE,Residential,4,3,2494,352162.84
FAIR OAKS,Residential,3,2,1450,279205.78
SACRAMENTO,Residential,4,2,2169,287125.89
ROSEVILLE,Residential,3,2,1440,272888.73
FAIR OAKS,Residential,3,2,1527,294910.04
ROSEVILLE,Residential,3,2,1401,261181.07
SACRAMENTO,Residential,3,2,1411,210574.12
RIO LINDA,Residential,3,1,1284,208180.91
GALT,Residential,4,3,2307,324554.13
PLACERVILLE,Residential,3,2,1329,365651.11
SACRAMENTO,Residential,4,2,1910,267355.2
GOLD RIVER,Residential,3,2,1981,369233.12
SACRAMENTO,Residential,4,2,2205,291124.35
LINCOLN,Residential,2,2,1449,253563.91
FOLSOM,Residential,3,2,1258,307189.51
ELK GROVE,Residential,3,2,2575,351946.37
SACRAMENTO,Residential,2,1,539,98823.57
RANCHO CORDOVA,Residential,4,3,2208,283993.48
SACRAMENTO,Residential,3,1,1108,171159.43
FOLSOM,Residential,4,2,1595,342596.52
GALT,Residential,4,2,2159,304364.02
PLACERVILLE,Residential,4,3,2295,487552.08
ROSEVILLE,Residential,3,2,1838,319032.91
SACRAMENTO,Residential,4,2,1900,248912.52
SACRAMENTO,Residential,4,2,1718,236554.09
ELK GROVE,Residential,5,3,3389,449233.96
ELK GROVE,Residential,5,4,3260,426126.15
CAMERON PARK,Residential,3,2,2016,410038
ROCKLIN,Residential,4,2,2607,430600.53
ELK GROVE,Residential,4,3,2724,364169.54
GALT,Residential,5,4,3746,494309.4
RANCHO MURIETA,Residential,4,2,3192,429930.64
SACRAMENTO,Residential,2,1,1247,178912.92
FOLSOM,Residential,4,2,2581,474105.86
SACRAMENTO,Residential,3,1,2068,287506.99
ELK GROVE,Residential,4,3,3992,514368.14
SACRAMENTO,Residential,4,4,3397,439250.76
SACRAMENTO,Residential,5,3,3881,487115.81
CARMICHAEL,Residential,2,2,1598,315432.92
PLACERVILLE,Residential,4,3,1929,448855.08
ELK GROVE,Residential,4,3,3070,404710.17
SACRAMENTO,Residential,5,3,3984,509560.84
CARMICHAEL,Residential,4,2,2222,383525.53
ROSEVILLE,Residential,4,3,3838,549132.5
FAIR OAKS,Residential,5,5,2846,458240.12
SACRAMENTO,Residential,5,2,2484,327790.4
LOOMIS,Residential,4,4,1624,601445.11
SACRAMENTO,Condo,2,1,840,125932.13
SACRAMENTO,Condo,1,1,484,96433.81
SACRAMENTO,Residential,3,1,970,151268.01
SACRAMENTO,Residential,2,1,623,116327.31
SACRAMENTO,Residential,2,1,932,134045.41
SACRAMENTO,Residential,2,1,796,131726.12
SACRAMENTO,Residential,2,1,834,127417.72
SACRAMENTO,Residential,2,1,834,138780.72
SACRAMENTO,Condo,2,1,924,141892.86
SACRAMENTO,Condo,2,1,795,125175.05
SACRAMENTO,Residential,3,1,1250,185815.13
SACRAMENTO,Residential,2,1,984,146254.96
SACRAMENTO,Residential,3,1,1013,158819.94
SACRAMENTO,Residential,3,1,1012,159659.87
SACRAMENTO,Condo,2,1,795,135397.05
SACRAMENTO,Residential,2,2,918,139984.45
SACRAMENTO,Residential,3,1,1082,165007.65
SACRAMENTO,Residential,2,1,964,157353.6
SACRAMENTO,Multi-Family,4,2,1404,206807.65
SACRAMENTO,Condo,1,1,625,110409.44
CITRUS HEIGHTS,Residential,2,1,888,141288.58
SACRAMENTO,Residential,4,2,1120,169886.25
NORTH HIGHLANDS,Residential,3,1,1331,159373.01
SACRAMENTO,Residential,3,1,1014,154338.01
SACRAMENTO,Residential,4,2,1448,207931.65
SACRAMENTO,Residential,3,1,966,141182.73
SACRAMENTO,Residential,2,1,779,118028.96
ANTELOPE,Condo,2,2,836,146746.52
ROSEVILLE,Condo,2,2,1100,233712.51
SACRAMENTO,Residential,3,1,1174,169682.94
NORTH HIGHLANDS,Residential,3,2,1207,148184.54
SACRAMENTO,Multi-Family,4,4,1995,277202.01
SACRAMENTO,Residential,2,1,804,129900.67
SACRAMENTO,Condo,2,2,958,139533.19
SACRAMENTO,Residential,3,2,1366,194543.05
SACRAMENTO,Residential,2,2,901,143138.29
SACRAMENTO,Residential,3,1,696,125279.29
GALT,Residential,3,2,1080,170431.33
SACRAMENTO,Residential,3,2,1104,167952.16
SACRAMENTO,Residential,2,1,972,142826.14
SACRAMENTO,Residential,4,2,1390,202089.69
ELVERTA,Residential,4,2,1354,154599.18
SACRAMENTO,Condo,2,1,795,134350.05
ROSEVILLE,Condo,2,1,780,181865.66
SACRAMENTO,Residential,4,2,1587,214807.14
NORTH HIGHLANDS,Residential,3,2,1209,161981.67
SACRAMENTO,Residential,2,1,1139,176509.55
RIO LINDA,Residential,2,2,1690,254279.63
CARMICHAEL,Condo,3,2,1245,263821.81
ELVERTA,Residential,3,2,1416,172706.42
SACRAMENTO,Residential,3,2,1300,189050.54
SACRAMENTO,Residential,3,2,1120,175656.25
SACRAMENTO,Residential,4,2,1590,218819.35
SACRAMENTO,Residential,3,2,1407,206429.85
SACRAMENTO,Residential,5,2,1516,216459.29
SACRAMENTO,Residential,3,2,1646,237360.17
SACRAMENTO,Residential,3,2,1676,228844.22
SACRAMENTO,Residential,3,2,1370,186969.32
SACRAMENTO,Residential,3,2,1370,195421.32
CITRUS HEIGHTS,Residential,4,2,1351,194237.2
NORTH HIGHLANDS,Residential,3,2,1152,141334.78
SACRAMENTO,Residential,3,2,1452,204110.92
ROSEVILLE,Residential,2,1,990,208242
CITRUS HEIGHTS,Residential,2,2,1162,171268.3
RIO LINDA,Residential,3,2,1182,187482.94
ELK GROVE,Residential,2,2,1112,173648.45
GALT,Residential,3,2,1100,176031.7
CITRUS HEIGHTS,Residential,4,2,1280,185038.36
CITRUS HEIGHTS,Residential,4,2,1280,195055.36
SACRAMENTO,Residential,3,1,1039,164616.72
SACRAMENTO,Residential,3,2,1159,163202.91
SACRAMENTO,Residential,4,2,1917,268945.68
SACRAMENTO,Residential,3,2,1520,217542.57
GALT,Residential,3,2,1204,181010.8
SACRAMENTO,Residential,3,2,1120,158707.25
SACRAMENTO,Residential,3,2,1436,195466.83
SACRAMENTO,Residential,3,2,1451,196694.86
SACRAMENTO,Residential,4,2,1638,226422.63
CARMICHAEL,Condo,2,2,1000,242074.08
ROSEVILLE,Residential,3,1,1152,241223.06
ROSEVILLE,Residential,3,2,1154,233764.2
SACRAMENTO,Residential,3,2,1353,192800.16
CITRUS HEIGHTS,Residential,3,2,1329,192447.7
SACRAMENTO,Residential,3,1,1356,189959.37
SACRAMENTO,Residential,3,2,1505,214664.54
SACRAMENTO,Residential,3,1,1009,145370.67
SACRAMENTO,Residential,3,2,1144,172793.89
SACRAMENTO,Residential,2,1,930,136706.27
SACRAMENTO,Residential,4,2,1766,239397.37
SACRAMENTO,Residential,4,3,1940,260125.25
ELK GROVE,Residential,4,2,1776,257238.8
CITRUS HEIGHTS,Residential,3,1,1258,183310.85
SACRAMENTO,Residential,4,2,1872,255082.61
ELK GROVE,Residential,2,2,1112,177060.45
SACRAMENTO,Residential,4,2,1856,252003.51
SACRAMENTO,Residential,4,3,1939,264864.18
ROSEVILLE,Residential,3,1,998,221538.54
ROSEVILLE,Residential,3,2,1758,298739.45
SACRAMENTO,Residential,3,2,2142,291407.05
SACRAMENTO,Residential,2,1,950,143311.64
ELK GROVE,Residential,4,3,1739,246549.27
ELK GROVE,Residential,3,2,1516,235727.04
ANTELOPE,Residential,3,1,988,149040.91
GALT,Residential,4,2,1555,224370.77
SACRAMENTO,Residential,3,2,1212,175828.53
SACRAMENTO,Residential,4,2,1871,252219.54
SACRAMENTO,Residential,3,2,1302,182055.68
SACRAMENTO,Condo,2,1,756,128108.39
ANTELOPE,Residential,4,3,2026,279067.79
SACRAMENTO,Residential,3,2,1375,187730.67
SACRAMENTO,Condo,2,2,1250,179783.13
SACRAMENTO,Residential,3,1,1058,162664.02
ANTELOPE,Residential,3,2,1187,173717.5
SACRAMENTO,Residential,2,2,1324,180903.18
SACRAMENTO,Residential,4,3,1936,271584.98
RANCHO CORDOVA,Multi-Family,5,4,2382,313221.36
FOLSOM,Residential,3,2,1427,332294.05
SACRAMENTO,Condo,3,2,1678,241565.36
GALT,Residential,4,2,1798,264483.37
ANTELOPE,Residential,4,3,2652,345128.55
SACRAMENTO,Residential,4,2,1816,256340.78
SACRAMENTO,Residential,5,3,3076,401819.83
ELK GROVE,Residential,4,2,1844,268739.45
SACRAMENTO,Residential,3,2,1306,187336.95
SACRAMENTO,Residential,4,3,2447,332978.88
SACRAMENTO,Residential,4,2,1176,182138.07
RIO LINDA,Residential,4,2,1182,194525.94
RIO LINDA,Residential,3,1,1160,182318.44
SACRAMENTO,Residential,3,2,1424,209109.01
ORANGEVALE,Residential,4,2,1574,280165.26
ANTELOPE,Residential,3,2,1830,264184.41
ELK GROVE,Residential,4,2,1724,249235.25
AUBURN,Condo,2,2,1255,298353.09
SACRAMENTO,Residential,4,3,2175,282285.3
SACRAMENTO,Residential,4,2,1904,266293.79
EL DORADO HILLS,Residential,4,2,1808,304914.59
RANCHO CORDOVA,Residential,4,2,2711,360003.83
CARMICHAEL,Residential,3,1,1713,330257.77
ELK GROVE,Residential,3,2,1457,216219.02
ELK GROVE,Residential,4,3,2724,372080.54
SACRAMENTO,Residential,3,2,1468,213315.02
SACRAMENTO,Residential,4,3,2550,345776.91
GALT,Residential,4,2,1928,269771.24
SACRAMENTO,Residential,3,3,1922,255096.02
CITRUS HEIGHTS,Residential,3,2,1343,210307.66
ROCKLIN,Residential,3,2,1510,296265.61
AUBURN,Multi-Family,2,2,960,275360.95
CARMICHAEL,Residential,4,2,1559,315430.25
EL DORADO,Residential,3,2,1624,291424.94
SACRAMENTO,Residential,5,3,2992,380190.1
ELK GROVE,Residential,4,2,2109,292127.54
RANCHO CORDOVA,Residential,4,2,1524,203197.77
SACRAMENTO,Residential,3,2,1248,186841.99
SACRAMENTO,Residential,4,2,1876,257985.88
RANCHO CORDOVA,Residential,4,3,1851,244324.1
SACRAMENTO,Residential,4,2,2218,295546.24
SACRAMENTO,Residential,3,2,1394,207358.96
SACRAMENTO,Residential,3,2,1410,193377.06
ELK GROVE,Residential,5,3,3468,464116.36
ANTELOPE,Residential,5,3,2346,319645.65
ANTELOPE,Residential,5,3,2347,322743.72
SACRAMENTO,Residential,4,2,1659,239950.06
ELK GROVE,Residential,3,3,2442,343640.29
SACRAMENTO,Residential,4,2,2155,297514.93
SACRAMENTO,Residential,3,2,1810,251381.37
ELK GROVE,Residential,4,2,2789,387339.98
GALT,Residential,4,2,1606,229048.25
SACRAMENTO,Residential,4,2,2166,284871.69
SACRAMENTO,Residential,4,2,1871,258566.54
SACRAMENTO,Residential,3,2,1800,253876.69
SACRAMENTO,Residential,3,1,1683,224505.7
ROCKLIN,Residential,2,2,1596,308174.48
ELK GROVE,Residential,3,2,1179,190009.03
SACRAMENTO,Residential,3,1,1639,225906.69
RANCHO CORDOVA,Residential,5,3,3281,427488.76
SACRAMENTO,Residential,3,2,1697,228019.66
ANTELOPE,Residential,4,3,2085,280373.82
SACRAMENTO,Multi-Family,4,2,1744,235733.87
FOLSOM,Residential,4,3,1939,398069.02
SACRAMENTO,Residential,2,3,1788,255474.87
ROCKLIN,Residential,3,2,1691,328355.97
ELK GROVE,Residential,4,2,2002,281951.24
ELK GROVE,Residential,4,4,4303,557382.38
SACRAMENTO,Residential,5,3,4246,541771.74
ROSEVILLE,Residential,3,2,2274,356171.69
ORANGEVALE,Residential,4,4,3056,453147.47
ELK GROVE,Residential,3,3,2503,345029.45
FOLSOM,Residential,3,2,1905,388673.69
PENRYN,Residential,3,2,1320,524117
GOLD RIVER,Residential,4,2,3037,486460.24
WILTON,Residential,5,2,3741,665860.04
FOLSOM,Residential,4,3,2660,479409.26
CARMICHAEL,Residential,4,3,3357,523479.05
GRANITE BAY,Residential,5,3,2896,679589.01
PLACERVILLE,Residential,3,2,2025,445286.64
WILTON,Residential,5,3,3788,675883.25
GRANITE BAY,Residential,5,3,3670,777421.87
CITRUS HEIGHTS,Residential,3,2,1166,179899.57
SACRAMENTO,Residential,2,1,838,131539.99
NORTH HIGHLANDS,Residential,2,1,904,122640.84
SACRAMENTO,Residential,2,1,1032,159316.24
SACRAMENTO,Residential,2,1,904,144391.5
SACRAMENTO,Residential,2,1,1080,156137.52
SACRAMENTO,Residential,2,2,990,142761.37
SACRAMENTO,Residential,2,1,900,137183.23
SACRAMENTO,Residential,2,1,861,131526.56
SACRAMENTO,Condo,2,1,906,149868.64
SACRAMENTO,Residential,2,1,1011,149941.81
SACRAMENTO,Residential,3,2,1089,170002.13
SACRAMENTO,Residential,2,1,832,127229.58
SACRAMENTO,Condo,2,1,800,122454.4
SACRAMENTO,Residential,4,2,1292,190822
SACRAMENTO,Residential,2,1,810,120647.08
SACRAMENTO,Residential,4,2,1064,165414.43
RANCHO CORDOVA,Residential,2,1,911,136975.9
SACRAMENTO,Condo,1,1,846,134948.54
SACRAMENTO,Residential,3,2,1320,182563.91
SACRAMENTO,Residential,3,2,1410,203090.06
RANCHO CORDOVA,Residential,3,2,1115,158547.83
SACRAMENTO,Residential,3,2,1169,168158.6
SACRAMENTO,Residential,3,2,1164,180335.26
SACRAMENTO,Residential,4,2,1341,188606.34
SACRAMENTO,Residential,3,2,1219,178083.01
SACRAMENTO,Residential,4,2,1127,158922.73
NORTH HIGHLANDS,Residential,3,2,1272,167154.98
SACRAMENTO,Residential,4,2,1253,178475.33
SACRAMENTO,Residential,3,2,1120,170959.25
NORTH HIGHLANDS,Residential,2,2,1118,142392.46
SACRAMENTO,Residential,4,3,1890,261848.84
SACRAMENTO,Residential,3,2,1260,175858.81
SACRAMENTO,Residential,3,2,1400,206121.37
SACRAMENTO,Residential,3,1,1264,180388.08
SACRAMENTO,Residential,3,1,1060,160643.15
SACRAMENTO,Residential,2,2,1132,158505.07
SACRAMENTO,Residential,3,2,1466,199496.88
SACRAMENTO,Residential,3,2,1092,158308.34
SACRAMENTO,Residential,4,2,1628,236505.94
SACRAMENTO,Residential,3,2,960,151047.32
CITRUS HEIGHTS,Residential,3,2,1075,162104.35
SACRAMENTO,Residential,3,2,1428,194995.28
SACRAMENTO,Residential,4,2,1358,191125.5
SACRAMENTO,Multi-Family,6,4,2475,323148.79
CITRUS HEIGHTS,Residential,3,2,1410,205450.23
ANTELOPE,Residential,3,2,1711,248598.28
SACRAMENTO,Residential,4,2,1483,204117.04
GALT,Residential,3,2,1140,175913.43
SACRAMENTO,Residential,4,2,1549,223353.55
SACRAMENTO,Residential,3,2,1410,204036.06
ELK GROVE,Residential,3,2,1240,200336.2
SACRAMENTO,Residential,5,2,1712,240556.68
SACRAMENTO,Residential,4,2,1580,222465.67
ANTELOPE,Residential,3,2,1669,246551.41
SACRAMENTO,Residential,3,1,1029,158932.04
CITRUS HEIGHTS,Residential,3,1,1103,169624.27
SACRAMENTO,Residential,3,2,2161,297494.34
SACRAMENTO,Residential,3,2,1650,232158.45
POLLOCK PINES,Residential,3,1,1320,247129.12
SACRAMENTO,Residential,3,2,1200,180705.71
SACRAMENTO,Residential,3,2,1170,174984.66
CITRUS HEIGHTS,Residential,3,2,1199,182863.82
SACRAMENTO,Residential,4,2,1695,242735.52
RANCHO CORDOVA,Residential,3,2,1157,174179.7
SACRAMENTO,Residential,3,2,1410,191694.06
ROSEVILLE,Residential,3,2,1174,233937.56
SACRAMENTO,Residential,3,2,1593,222340.55
RIO LINDA,Residential,3,2,1093,171690.86
ROSEVILLE,Residential,3,2,1770,308823.27
SACRAMENTO,Residential,4,2,1436,212674.83
SACRAMENTO,Residential,3,2,1124,158181.52
SACRAMENTO,Residential,4,2,1139,170452.55
